customer_id,last_visit_date,jours_depuis_visite,last_purchase_date,jours_depuis_achat,churn
1,2022-12-22,265.0,2022-11-29 06:48:25,288,0
2,2022-09-04,374.0,2023-07-03 17:26:19,72,0
3,2023-02-26,199.0,2023-02-03 03:58:07,222,0
4,2022-06-29,441.0,2022-06-29 03:41:09,441,1
5,2023-07-12,63.0,2022-07-16 04:08:09,424,0
6,2022-02-07,583.0,2023-04-26 08:29:49,140,0
7,2022-05-26,475.0,2023-04-24 22:16:48,141,0
8,2023-08-19,25.0,2023-08-19 03:19:57,25,0
9,2020-09-16,1092.0,2023-04-25 21:02:36,140,0
10,2023-04-24,142.0,2023-05-06 04:06:27,130,0
11,2023-06-03,102.0,2023-06-03 07:05:16,102,0
12,2023-01-27,229.0,2023-05-23 15:09:02,113,0
13,2023-06-13,92.0,2022-12-29 13:49:35,258,0
14,2023-08-24,20.0,2022-12-24 13:58:40,263,0
15,2023-06-24,81.0,2023-06-24 18:38:14,81,0
16,2022-08-10,399.0,2023-05-31 22:53:07,104,0
17,2023-04-12,154.0,2023-06-03 03:03:28,102,0
18,2021-08-15,759.0,2022-07-14 09:13:18,426,1
19,2023-05-30,106.0,2022-04-13 22:24:09,517,0
20,2023-06-29,76.0,2023-06-29 09:57:32,76,0
21,2020-01-28,1324.0,2022-12-22 02:45:29,265,0
22,2023-08-31,13.0,2023-08-31 02:30:31,13,0
23,2023-01-19,237.0,2023-05-02 11:41:52,134,0
24,2023-05-25,111.0,2023-04-22 02:36:34,144,0
25,2023-08-09,35.0,2022-09-25 08:48:31,353,0
26,2023-06-24,81.0,2023-03-13 16:30:10,184,0
27,2022-09-25,353.0,2023-01-17 21:56:17,238,0
28,2023-02-09,216.0,2022-11-09 16:43:19,308,0
29,2023-07-15,60.0,2022-02-19 08:31:20,571,0
30,2023-05-03,133.0,2023-07-18 10:43:58,57,0
31,2023-04-13,153.0,2023-04-13 10:39:19,153,0
32,2023-09-08,5.0,2021-05-03 01:15:11,863,0
33,2022-04-06,525.0,2022-05-14 20:47:50,486,1
34,2023-01-26,230.0,2022-11-17 03:59:49,300,0
35,2022-03-26,536.0,2022-12-17 21:17:15,269,0
36,2023-08-20,24.0,2023-08-19 12:56:02,25,0
37,2023-04-10,156.0,2023-08-12 09:14:29,32,0
38,2023-03-14,183.0,2023-01-20 07:11:18,236,0
39,,9999.0,2022-05-29 05:56:28,472,1
40,2023-09-03,10.0,2022-12-10 17:33:16,277,0
41,2021-12-01,651.0,2023-01-21 22:28:21,234,0
42,2023-08-25,19.0,2023-08-25 18:07:26,19,0
43,2023-05-16,120.0,2023-05-16 07:06:26,120,0
44,2022-03-24,538.0,2023-07-07 14:04:45,68,0
45,2023-09-07,6.0,2023-08-24 14:19:10,20,0
46,2021-02-25,930.0,2023-04-21 11:14:15,145,0
47,2022-02-25,565.0,2023-01-15 19:37:08,240,0
48,2022-11-03,314.0,2023-08-19 21:48:53,24,0
49,2022-12-21,266.0,2021-07-09 20:13:54,795,0
50,2023-05-07,129.0,2023-02-27 08:55:54,198,0
51,2022-05-07,494.0,2022-10-29 13:51:13,319,1
52,2023-04-03,163.0,2023-06-23 12:01:15,82,0
53,2023-04-18,148.0,2023-03-27 03:10:54,170,0
54,2023-07-08,67.0,2023-05-16 10:49:14,120,0
55,2022-12-16,271.0,2022-12-16 02:33:48,271,1
56,2022-07-23,417.0,2022-03-23 18:20:50,539,1
57,2021-09-07,736.0,2022-10-25 00:48:54,323,1
58,2023-04-10,156.0,2023-04-10 01:16:13,156,0
59,2023-02-16,209.0,2023-07-19 09:00:40,56,0
60,2022-08-23,386.0,2022-11-25 10:38:17,292,1
61,2022-07-18,422.0,2023-06-17 23:07:32,87,0
