customer_id,jours_depuis_visite,jours_depuis_achat,nb_sessions,nb_transactions,churn,proba_churn,risque
46410,547.0,547,1.0,1,1,0.9179638960697248,Élevé
25564,236.0,236,1.0,2,1,0.9112405393423612,Élevé
40487,1298.0,746,1.0,2,1,0.9102668696353641,Élevé
12124,1001.0,283,1.0,2,1,0.9023088932805036,Élevé
41376,544.0,544,1.0,2,1,0.9022694193866958,Élevé
32170,416.0,416,1.0,2,1,0.9009554650841146,Élevé
5252,218.0,218,1.0,2,1,0.896640077314838,Élevé
10795,827.0,826,1.0,1,1,0.8954707632677331,Élevé
12230,639.0,638,1.0,2,1,0.8940055507275234,Élevé
2518,424.0,176,1.0,2,1,0.8884503125084189,Élevé
25172,1324.0,1324,1.0,1,1,0.8882379806262073,Élevé
23489,461.0,460,1.0,1,1,0.885946985832588,Élevé
41096,155.0,155,1.0,2,1,0.8847762924121051,Élevé
45209,612.0,612,1.0,1,1,0.8804562772743627,Élevé
37340,556.0,556,1.0,2,1,0.877960026479265,Élevé
20276,1283.0,1060,1.0,2,1,0.8777853323941636,Élevé
885,510.0,510,1.0,1,1,0.8773927762788708,Élevé
27643,1153.0,1153,1.0,1,1,0.8767708572150847,Élevé
34336,377.0,305,1.0,2,1,0.8756480763651379,Élevé
46209,163.0,163,1.0,3,1,0.8732271258340676,Élevé
18948,99.0,98,1.0,2,1,0.8707623442814993,Élevé
49114,93.0,93,1.0,2,1,0.8703758085175286,Élevé
2709,1241.0,700,1.0,2,1,0.8689340500444962,Élevé
21407,470.0,470,1.0,3,1,0.8684173364991986,Élevé
8104,374.0,373,1.0,2,1,0.8684085740761378,Élevé
9049,621.0,266,1.0,2,1,0.8683014688485678,Élevé
40617,1143.0,319,1.0,2,1,0.8659575800904946,Élevé
43077,935.0,934,1.0,1,1,0.8640349603792068,Élevé
34296,322.0,295,1.0,3,1,0.863551320708773,Élevé
9951,316.0,316,1.0,2,1,0.8622571386783103,Élevé
21661,492.0,491,1.0,1,1,0.8609978622802017,Élevé
1494,1201.0,749,1.0,2,1,0.8609428838940539,Élevé
8037,123.0,123,1.0,2,1,0.8605486546420842,Élevé
48105,563.0,167,1.0,3,1,0.8598711371382538,Élevé
48014,59.0,59,1.0,2,0,0.8590808643034283,Élevé
12950,1136.0,920,1.0,2,1,0.8585320897580135,Élevé
16393,545.0,545,2.0,2,1,0.8583199770007307,Élevé
38717,130.0,130,1.0,2,1,0.8577817073873387,Élevé
6632,743.0,630,1.0,2,1,0.8571438330447557,Élevé
3348,1186.0,570,1.0,4,1,0.8567425045720333,Élevé
23494,1210.0,467,1.0,3,1,0.8566381972271256,Élevé
18112,275.0,275,1.0,3,1,0.8561115801571054,Élevé
3434,1061.0,903,1.0,3,1,0.855971314460629,Élevé
48153,197.0,197,1.0,2,1,0.8558088058660333,Élevé
496,339.0,306,1.0,4,1,0.854075736688839,Élevé
43587,502.0,128,1.0,3,1,0.853968046474101,Élevé
42446,624.0,326,1.0,3,1,0.8537904358020734,Élevé
22454,657.0,657,1.0,1,1,0.8534903327290772,Élevé
12599,516.0,516,1.0,1,1,0.8513759277300097,Élevé
36468,300.0,948,1.0,1,1,0.8513169251380711,Élevé
43410,132.0,132,1.0,2,1,0.8497511101338217,Élevé
33418,599.0,99,1.0,2,1,0.8496836466976453,Élevé
17624,1288.0,207,1.0,3,1,0.8491892535058944,Élevé
30964,1028.0,894,1.0,2,1,0.8486687072740066,Élevé
